submission_id,QUD,RT,age,comments,condition,correct,education,endTime,experiment_id,gender,languages,option1,option2,question,response,startDate,startTime,timeSpent,trial_name,trial_number,type,vignette
277,,6069,34,,none,false,Graduated College,1573289720236,6,male,German,FALSE,TRUE,World War II was a global war that lasted from 1914 to 1918.,FALSE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,practice_trials,1,practice,undefined
277,,2925,34,,none,false,Graduated College,1573289720236,6,male,German,FALSE,TRUE,Spain is a country in Asia.,FALSE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,practice_trials,2,practice,undefined
277,,4058,34,,none,true,Graduated College,1573289720236,6,male,German,FALSE,TRUE,Normally there are 32 teeth in the adult human body.,TRUE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,practice_trials,3,practice,undefined
277,,12224,34,,none,true,Graduated College,1573289720236,6,male,German,FALSE,TRUE,"William Shakespeare was an English poet, playwright and actor, regarded as the greatest writer in the English language.",TRUE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,practice_trials,4,practice,undefined
277,,4230,34,,none,true,Graduated College,1573289720236,6,male,German,FALSE,TRUE,Alexander Bell invented the telephone.,TRUE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,practice_trials,5,practice,undefined
277,,3312,34,,none,false,Graduated College,1573289720236,6,male,German,FALSE,TRUE,Big Ben is a very large building in the middle of Paris.,FALSE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,main_trials,1,filler,none
277,,5657,34,,none,true,Graduated College,1573289720236,6,male,German,FALSE,TRUE,The Great Wall is one of the seven wonders of the world.,FALSE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,main_trials,2,filler,none
277,,4473,34,,6,false,Graduated College,1573289720236,6,male,German,FALSE,TRUE,The volcanoes of Germany do not dominate the landscape.,TRUE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,main_trials,3,main,5
277,,9742,34,,none,true,Graduated College,1573289720236,6,male,German,FALSE,TRUE,The United Nations Children's Fund (UNICEF) provides humanitarian and developmental assistance to children and mothers in developing countries.,TRUE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,main_trials,4,filler,none
277,,3901,34,,none,false,Graduated College,1573289720236,6,male,German,FALSE,TRUE,Elvis Presley is one of the most popular musicians in this decade.,FALSE,Sat Nov 09 2019 09:50:54 GMT+0100 (Mitteleuropäische Normalzeit),1573289454269,4.432783333333333,main_trials,5,filler,none
